year,month,temp_anomaly_C,region,co2_ppm,ch4_ppb,n2o_ppb,solar_W_m2,land_use_Gt,date
1979,1,0.08,Global,336.56,,,1361.0275,,1979-01-01
1979,1,-0.05,NH,336.56,,,1361.0275,,1979-01-01
1979,1,0.22,SH,336.56,,,1361.0275,,1979-01-01
1979,2,-0.1,Global,337.29,,,1360.9754,,1979-02-01
1979,2,-0.35000000000000003,NH,337.29,,,1360.9754,,1979-02-01
1979,2,0.16,SH,337.29,,,1360.9754,,1979-02-01
1979,3,0.19,Global,337.88,,,1361.0528,,1979-03-01
1979,3,0.18,NH,337.88,,,1361.0528,,1979-03-01
1979,3,0.2,SH,337.88,,,1361.0528,,1979-03-01
1979,4,0.15,Global,338.32,,,1361.0045,,1979-04-01
1979,4,-0.17,NH,338.32,,,1361.0045,,1979-04-01
1979,4,0.47000000000000003,SH,338.32,,,1361.0045,,1979-04-01
1979,5,0.03,Global,338.26,,,1361.0646,,1979-05-01
1979,5,0.01,NH,338.26,,,1361.0646,,1979-05-01
1979,5,0.06,SH,338.26,,,1361.0646,,1979-05-01
1979,6,0.14,Global,337.39,,,1361.1339,,1979-06-01
1979,6,0.08,NH,337.39,,,1361.1339,,1979-06-01
1979,6,0.2,SH,337.39,,,1361.1339,,1979-06-01
1979,7,0.04,Global,335.57,,,1361.0612,,1979-07-01
1979,7,0.05,NH,335.57,,,1361.0612,,1979-07-01
1979,7,0.03,SH,335.57,,,1361.0612,,1979-07-01
1979,8,0.16,Global,334.37,,,1361.1856,,1979-08-01
1979,8,0.04,NH,334.37,,,1361.1856,,1979-08-01
1979,8,0.29,SH,334.37,,,1361.1856,,1979-08-01
1979,9,0.25,Global,335.02,,,1361.1848,,1979-09-01
1979,9,0.19,NH,335.02,,,1361.1848,,1979-09-01
1979,9,0.31,SH,335.02,,,1361.1848,,1979-09-01
1979,10,0.26,Global,336.36,,,1361.2353,,1979-10-01
1979,10,0.23,NH,336.36,,,1361.2353,,1979-10-01
1979,10,0.29,SH,336.36,,,1361.2353,,1979-10-01
1979,11,0.28,Global,337.36,,,1361.2403,,1979-11-01
1979,11,0.24,NH,337.36,,,1361.2403,,1979-11-01
1979,11,0.32,SH,337.36,,,1361.2403,,1979-11-01
1979,12,0.47000000000000003,Global,337.89,,,1361.3182,,1979-12-01
1979,12,0.54,NH,337.89,,,1361.3182,,1979-12-01
1979,12,0.41000000000000003,SH,337.89,,,1361.3182,,1979-12-01
1980,1,0.29,Global,338.57,,,1361.2766,,1980-01-01
1980,1,0.21,NH,338.57,,,1361.2766,,1980-01-01
1980,1,0.38,SH,338.57,,,1361.2766,,1980-01-01
1980,2,0.39,Global,339.26,,,1361.2686,,1980-02-01
1980,2,0.41000000000000003,NH,339.26,,,1361.2686,,1980-02-01
1980,2,0.38,SH,339.26,,,1361.2686,,1980-02-01
1980,3,0.29,Global,339.6,,,1361.3152,,1980-03-01
1980,3,0.07,NH,339.6,,,1361.3152,,1980-03-01
1980,3,0.52,SH,339.6,,,1361.3152,,1980-03-01
1980,4,0.3,Global,340.0,,,1361.3546,,1980-04-01
1980,4,0.15,NH,340.0,,,1361.3546,,1980-04-01
1980,4,0.45,SH,340.0,,,1361.3546,,1980-04-01
1980,5,0.35000000000000003,Global,340.44,,,1361.3475,,1980-05-01
1980,5,0.26,NH,340.44,,,1361.3475,,1980-05-01
1980,5,0.44,SH,340.44,,,1361.3475,,1980-05-01
1980,6,0.2,Global,339.99,,,1361.3639,,1980-06-01
1980,6,0.19,NH,339.99,,,1361.3639,,1980-06-01
1980,6,0.22,SH,339.99,,,1361.3639,,1980-06-01
1980,7,0.22,Global,338.44,,,1361.3428,,1980-07-01
1980,7,0.13,NH,338.44,,,1361.3428,,1980-07-01
1980,7,0.3,SH,338.44,,,1361.3428,,1980-07-01
1980,8,0.18,Global,337.22,,,1361.3599,,1980-08-01
1980,8,0.09,NH,337.22,,,1361.3599,,1980-08-01
1980,8,0.27,SH,337.22,,,1361.3599,,1980-08-01
1980,9,0.2,Global,337.05,,,1361.3372,,1980-09-01
1980,9,0.1,NH,337.05,,,1361.3372,,1980-09-01
1980,9,0.3,SH,337.05,,,1361.3372,,1980-09-01
1980,10,0.13,Global,337.82,,,1361.5081,,1980-10-01
1980,10,0.11,NH,337.82,,,1361.5081,,1980-10-01
1980,10,0.15,SH,337.82,,,1361.5081,,1980-10-01
1980,11,0.29,Global,338.93,,,1361.3708,,1980-11-01
1980,11,0.2,NH,338.93,,,1361.3708,,1980-11-01
1980,11,0.38,SH,338.93,,,1361.3708,,1980-11-01
1980,12,0.21,Global,339.64,,,1361.4098,,1980-12-01
1980,12,0.09,NH,339.64,,,1361.4098,,1980-12-01
1980,12,0.34,SH,339.64,,,1361.4098,,1980-12-01
1981,1,0.53,Global,340.18,,,1361.4189,,1981-01-01
1981,1,0.8,NH,340.18,,,1361.4189,,1981-01-01
1981,1,0.25,SH,340.18,,,1361.4189,,1981-01-01
1981,2,0.42,Global,340.75,,,1361.5089,,1981-02-01
1981,2,0.62,NH,340.75,,,1361.5089,,1981-02-01
1981,2,0.21,SH,340.75,,,1361.5089,,1981-02-01
1981,3,0.48,Global,341.38,,,1361.4578,,1981-03-01
1981,3,0.67,NH,341.38,,,1361.4578,,1981-03-01
1981,3,0.28,SH,341.38,,,1361.4578,,1981-03-01
1981,4,0.32,Global,341.68,,,1361.5421,,1981-04-01
1981,4,0.39,NH,341.68,,,1361.5421,,1981-04-01
1981,4,0.25,SH,341.68,,,1361.5421,,1981-04-01
1981,5,0.24,Global,341.43,,,1361.4522,,1981-05-01
1981,5,0.18,NH,341.43,,,1361.4522,,1981-05-01
1981,5,0.3,SH,341.43,,,1361.4522,,1981-05-01
1981,6,0.29,Global,340.63,,,1361.5049,,1981-06-01
1981,6,0.28,NH,340.63,,,1361.5049,,1981-06-01
1981,6,0.3,SH,340.63,,,1361.5049,,1981-06-01
1981,7,0.32,Global,339.23,,,1361.4531,,1981-07-01
1981,7,0.09,NH,339.23,,,1361.4531,,1981-07-01
1981,7,0.54,SH,339.23,,,1361.4531,,1981-07-01
1981,8,0.35000000000000003,Global,338.08,,,1361.605,,1981-08-01
1981,8,0.16,NH,338.08,,,1361.605,,1981-08-01
