feature,linear_std_coef,random_forest,gradient_boosting,permutation,permutation_std,category
ch4_ppb,0.24541277790871485,0.36129995787346203,0.4592988823364871,0.2484022246526502,0.026135997767744876,GHG
ch4_ppb_ma12,0.6614415746298691,0.053016756303695935,0.07774893657994224,0.00944424353206571,0.0034653768212947796,GHG
n2o_ppb,0.0598964073960121,0.0917256512578613,0.0865684963888968,0.007920775166945426,0.006420813302026451,GHG
months_since_1960,5.073169325744473,0.08388837813413318,0.07820988939692955,0.007813311933240285,0.005020609317846405,Temporal
co2_ppm,1.8042675113819384,0.1055530353154012,0.03602187348066905,0.003141111023759402,0.007233486390985615,GHG
volcanic_flag,0.009702011922402907,4.800008046727523e-05,4.606348368275542e-05,2.5996678951933917e-05,6.0334689126090565e-05,Natural
land_use_Gt,1.6542323066914832e-14,0.0,0.0,0.0,0.0,GHG
co2_emissions_Gt,3.0253577421035516e-14,0.0,0.0,0.0,0.0,GHG
aerosol_AOD,0.00970201192243766,6.921298610801144e-05,1.9354538285952634e-05,-0.00011667880748129633,0.0001505476127284236,Natural
aerosol_AOD_ma12,0.02952230339643117,0.0007591746100069591,0.0025319421502594704,-0.0005181401554554266,0.0014692492391730927,Natural
month_sin,0.02816249150340358,0.013459223286985041,0.008181199014662834,-0.00440325327680745,0.005577515246182466,Seasonal
solar_W_m2_ma12,0.12748537481603014,0.029058523474333495,0.03201300769075905,-0.005161950642026214,0.007203533846621725,Solar
solar_W_m2,0.16677496433771785,0.017307798511576628,0.01537305734118332,-0.0063110933971133095,0.0031379487553971105,Solar
co2_ppm_ma12,3.124165210797609,0.07107082172482382,0.06587583405715196,-0.006321404837972067,0.003057311294054577,GHG
cum_aerosol,3.949200152627443,0.0690423677611495,0.04801883169937494,-0.006798566561752273,0.003179972855976127,Natural
co2_x_solar,0.04844088333306103,0.02182026773594081,0.018803982990924107,-0.00785472912340054,0.005922073126685217,GHG
month_cos,0.040340393548849995,0.0067933498400983275,0.004673734642121791,-0.011810144915451936,0.0028193662206172218,Seasonal
ch4_growth,0.06683222612551079,0.01589941295926716,0.012920004377842733,-0.01515935598057141,0.0028033873198067857,GHG
enso_proxy,0.015389166558877246,0.03102930100316719,0.030015233468513064,-0.01679291848484804,0.010469712372518737,Natural
co2_growth,0.04964934017563583,0.01875491686028768,0.015578842626040399,-0.02667525246560719,0.0028465252834910916,GHG
n2o_growth,0.013871098966658639,0.009403850281234593,0.008100833736272786,-0.036613160293459304,0.005593805394037278,GHG
